tiempo_ms,pwm,rpm
50,0,0.00
100,0,0.00
150,0,0.00
200,0,0.00
250,0,0.00
300,0,0.00
350,0,8160.00
400,0,0.00
450,0,0.00
500,0,0.00
550,0,0.00
600,0,0.00
650,0,0.00
700,0,0.00
750,0,0.00
800,0,0.00
850,0,0.00
900,0,0.00
950,0,0.00
1000,0,0.00
1050,0,0.00
1100,0,0.00
1150,0,0.00
1200,0,0.00
1250,0,0.00
1300,0,0.00
1350,0,0.00
1400,0,0.00
1450,0,0.00
1500,0,0.00
1550,0,0.00
1600,0,0.00
1650,0,0.00
1700,0,0.00
1750,0,0.00
1800,0,0.00
1850,0,0.00
1900,0,0.00
1950,0,0.00
2000,0,0.00
2050,20,0.00
2100,20,0.00
2150,20,0.00
2200,20,0.00
2250,20,0.00
2300,20,0.00
2350,20,0.00
2400,20,0.00
2450,20,0.00
2500,20,0.00
2550,20,0.00
2600,20,0.00
2650,20,0.00
2700,20,0.00
2750,20,0.00
2800,20,0.00
2850,20,0.00
2900,20,0.00
2950,20,0.00
3000,20,0.00
3050,20,0.00
3100,20,0.00
3150,20,0.00
3200,20,0.00
3250,20,0.00
3300,20,0.00
3350,20,0.00
3400,20,0.00
3450,20,0.00
3500,20,0.00
3550,20,0.00
3600,20,0.00
3650,20,0.00
3700,20,0.00
3750,20,0.00
3800,20,0.00
3850,20,0.00
3900,20,0.00
3950,20,0.00
4000,20,0.00
4050,40,0.00
4100,40,0.00
4150,40,0.00
4200,40,0.00
4250,40,0.00
4300,40,0.00
4350,40,0.00
4400,40,0.00
4450,40,0.00
4500,40,0.00
4550,40,0.00
4600,40,0.00
4650,40,0.00
4700,40,0.00
4750,40,0.00
4800,40,0.00
4850,40,0.00
4900,40,0.00
4950,40,0.00
5000,40,0.00
5050,40,0.00
5100,40,0.00
5150,40,0.00
5200,40,0.00
5250,40,0.00
5300,40,0.00
5350,40,0.00
5400,40,0.00
5450,40,0.00
5500,40,0.00
5550,40,0.00
5600,40,0.00
5650,40,0.00
5700,40,0.00
5750,40,0.00
5800,40,0.00
5850,40,0.00
5900,40,0.00
5950,40,0.00
6000,40,0.00
6050,60,60.00
6100,60,0.00
6150,60,0.00
6200,60,0.00
6250,60,0.00
6300,60,0.00
6350,60,0.00
6400,60,0.00
6450,60,0.00
6500,60,0.00
6550,60,0.00
6600,60,0.00
6650,60,0.00
6700,60,0.00
6750,60,0.00
6800,60,0.00
6850,60,0.00
6900,60,0.00
6950,60,0.00
7000,60,0.00
7050,60,0.00
7100,60,0.00
7150,60,0.00
7200,60,0.00
7250,60,0.00
7300,60,0.00
7350,60,0.00
7400,60,0.00
7450,60,0.00
7500,60,0.00
7550,60,0.00
7600,60,0.00
7650,60,0.00
7700,60,0.00
7750,60,0.00
7800,60,0.00
7850,60,0.00
7900,60,0.00
7950,60,0.00
8000,60,0.00
8050,80,1920.00
8100,80,5220.00
8150,80,7440.00
8200,80,8700.00
8250,80,9600.00
8300,80,10020.00
8350,80,10200.00
8400,80,9180.00
8450,80,8400.00
8500,80,7920.00
8550,80,8040.00
8600,80,8100.00
8650,80,7800.00
8700,80,10200.00
8750,80,11940.00
8800,80,12120.00
8850,80,12180.00
8900,80,12240.00
8950,80,12240.00
9000,80,12360.00
9050,80,12360.00
9100,80,12420.00
9150,80,12480.00
9200,80,12480.00
9250,80,12480.00
9300,80,12420.00
9350,80,12420.00
9400,80,12420.00
9450,80,12360.00
9500,80,12300.00
9550,80,12300.00
9600,80,12240.00
9650,80,12240.00
9700,80,12180.00
9750,80,12180.00
9800,80,12120.00
9850,80,12120.00
9900,80,12120.00
9950,80,12060.00
10000,80,12120.00
10050,100,8340.00
10100,100,0.00
10150,100,0.00
10200,100,0.00
10250,100,0.00
10300,100,0.00
10350,100,0.00
10400,100,0.00
10450,100,0.00
10500,100,0.00
10550,100,0.00
10600,100,0.00
10650,100,0.00
10700,100,0.00
10750,100,0.00
10800,100,0.00
10850,100,180.00
10900,100,1980.00
10950,100,1980.00
11000,100,1380.00
11050,100,5400.00
11100,100,1800.00
11150,100,0.00
11200,100,540.00
11250,100,4860.00
11300,100,5400.00
11350,100,5700.00
11400,100,7200.00
11450,100,7680.00
11500,100,8400.00
11550,100,9120.00
11600,100,8580.00
11650,100,8820.00
11700,100,8880.00
11750,100,8460.00
11800,100,9300.00
11850,100,9360.00
11900,100,10080.00
11950,100,10260.00
12000,100,9660.00
12050,80,8220.00
12100,80,9120.00
12150,80,11220.00
12200,80,13440.00
12250,80,14160.00
12300,80,13860.00
12350,80,13620.00
12400,80,13440.00
12450,80,13320.00
12500,80,13140.00
12550,80,13080.00
12600,80,12960.00
12650,80,12900.00
12700,80,12840.00
12750,80,12720.00
12800,80,12660.00
12850,80,12600.00
12900,80,12600.00
12950,80,12600.00
13000,80,12660.00
13050,80,12480.00
13100,80,12300.00
13150,80,12120.00
13200,80,12000.00
13250,80,11940.00
13300,80,11880.00
13350,80,11880.00
13400,80,11820.00
13450,80,11760.00
13500,80,11820.00
13550,80,11760.00
13600,80,11760.00
13650,80,11760.00
13700,80,11760.00
13750,80,11700.00
13800,80,11760.00
13850,80,11760.00
13900,80,11700.00
13950,80,11700.00
14000,80,11760.00
14050,60,11520.00
14100,60,11100.00
14150,60,10800.00
14200,60,10560.00
14250,60,10260.00
14300,60,10080.00
14350,60,9840.00
14400,60,9720.00
14450,60,9540.00
14500,60,9420.00
14550,60,9300.00
14600,60,9240.00
14650,60,9120.00
14700,60,9060.00
14750,60,9000.00
14800,60,8940.00
14850,60,8880.00
14900,60,8820.00
14950,60,8880.00
15000,60,8820.00
15050,60,8760.00
15100,60,8820.00
15150,60,8760.00
15200,60,8700.00
15250,60,8760.00
15300,60,8700.00
15350,60,8700.00
15400,60,8700.00
15450,60,8640.00
15500,60,8640.00
15550,60,8580.00
15600,60,8580.00
15650,60,8580.00
15700,60,8580.00
15750,60,8520.00
15800,60,8580.00
15850,60,8520.00
15900,60,8520.00
15950,60,8460.00
16000,60,8520.00
16050,40,8280.00
16100,40,7860.00
16150,40,7440.00
16200,40,7080.00
16250,40,6840.00
16300,40,6480.00
16350,40,6240.00
16400,40,6060.00
16450,40,5880.00
16500,40,5640.00
16550,40,5520.00
16600,40,5340.00
16650,40,5280.00
16700,40,5160.00
16750,40,4980.00
16800,40,4980.00
16850,40,4860.00
16900,40,4740.00
16950,40,4740.00
17000,40,4680.00
17050,40,4620.00
17100,40,4560.00
17150,40,4500.00
17200,40,4500.00
17250,40,4500.00
17300,40,4440.00
17350,40,4380.00
17400,40,4380.00
17450,40,4380.00
17500,40,4320.00
17550,40,4320.00
17600,40,4260.00
17650,40,4320.00
17700,40,4260.00
17750,40,4260.00
17800,40,4200.00
17850,40,4260.00
17900,40,4200.00
17950,40,4200.00
18000,40,4200.00
18050,20,3960.00
18100,20,3540.00
18150,20,3060.00
18200,20,2760.00
18250,20,2400.00
18300,20,2100.00
18350,20,1800.00
18400,20,1500.00
18450,20,1260.00
18500,20,1080.00
18550,20,780.00
18600,20,660.00
18650,20,420.00
18700,20,240.00
18750,20,0.00
18800,20,0.00
18850,20,0.00
18900,20,0.00
18950,20,0.00
19000,20,0.00
19050,20,0.00
19100,20,0.00
19150,20,0.00
19200,20,0.00
19250,20,0.00
19300,20,0.00
19350,20,0.00
19400,20,0.00
19450,20,0.00
19500,20,0.00
19550,20,0.00
19600,20,0.00
19650,20,0.00
19700,20,0.00
19750,20,0.00
19800,20,0.00
19850,20,0.00
19900,20,0.00
19950,20,0.00
20000,20,0.00